,0
0,0.02795
1,0.02742
2,0.00737
3,0.004898
4,0.00723
5,0.006012
6,0.006477
7,0.00448
8,0.5283
9,0.003506
10,0.007626
11,0.00426
12,0.009315
13,0.01599
14,0.00643
15,0.006527
16,0.00428
17,0.007687
18,0.01025
19,0.007385
20,0.0039
21,0.002262
22,0.00342
23,0.002531
24,0.004837
25,0.00606
26,0.00554
27,0.003792
28,0.003345
29,0.00407
30,0.00749
31,0.01278
32,0.01033
33,0.01149
34,0.003363
35,0.00213
36,0.8374
37,0.001619
38,0.002722
39,0.00381
40,0.006207
41,0.004482
42,0.004093
43,0.003016
44,0.003557
45,0.003244
46,0.00791
47,0.001968
48,0.003372
49,0.00826
50,0.004776
51,0.007717
52,0.003508
53,0.003416
54,0.00435
55,0.006893
56,0.002771
57,0.0032
58,0.005726
59,0.00832
60,0.00785
61,0.002722
62,0.002907
63,0.00391
64,0.003506
65,0.001993
66,0.0046
67,0.002977
68,0.003216
69,0.00371
70,0.002972
71,0.002785
72,0.00516
73,0.00672
74,0.008804
75,0.003294
76,0.00323
77,0.004894
78,0.00627
79,0.03033
80,0.05692
81,0.04367
82,0.02094
83,0.01712
84,0.0738
85,0.0597
