,0
0,0.00953
1,0.02258
2,0.0056
3,0.003847
4,0.004642
5,0.00198
6,0.001599
7,0.001743
8,0.4958
9,0.002108
10,0.004448
11,0.001026
12,0.001761
13,0.002445
14,0.002798
15,0.005337
16,0.003178
17,0.00315
18,0.002142
19,0.002583
20,0.002296
21,0.001375
22,0.002262
23,0.001329
24,0.001453
25,0.001825
26,0.003143
27,0.001725
28,0.001205
29,0.001217
30,0.001411
31,0.00356
32,0.002441
33,0.0013485
34,0.001359
35,0.001085
36,0.8633
37,0.000741
38,0.00186
39,0.001791
40,0.001657
41,0.001
42,0.001643
43,0.001991
44,0.001248
45,0.001357
46,0.00545
47,0.0005703
48,0.0006843
49,0.001959
50,0.001984
51,0.00126
52,0.001471
53,0.001446
54,0.001461
55,0.005978
56,0.001513
57,0.002287
58,0.001283
59,0.002262
60,0.0044
61,0.001202
62,0.00092
63,0.0013275
64,0.00131
65,0.00131
66,0.0009584
67,0.001221
68,0.00341
69,0.003502
70,0.001345
71,0.0010195
72,0.001155
73,0.00249
74,0.001751
75,0.00172
76,0.001987
77,0.001563
78,0.001229
79,0.005764
80,0.01633
81,0.006237
82,0.010155
83,0.00837
84,0.00482
85,0.003313
86,0.003222
87,0.004173
88,0.006096
89,0.006477
90,0.00996
91,0.00405
92,0.00361
93,0.02272
94,0.00393
95,0.004383
96,0.006165
97,0.0118
98,0.01166
99,0.01253
100,0.00879
101,0.015
102,0.0088
103,0.01814
104,0.0197
105,0.01724
106,0.02808
107,0.009796
108,0.012405
109,0.02058
110,0.01804
111,0.01175
112,0.01034
113,0.00882
114,0.01566
115,0.00804
116,0.01631
117,0.01613
118,0.01068
119,0.009155
120,0.01836
121,0.03937
