,0
0,0.01787
1,0.02686
2,0.007584
3,0.003975
4,0.00459
5,0.00336
6,0.00303
7,0.002365
8,0.483
9,0.002123
10,0.00534
11,0.001623
12,0.002644
13,0.002745
14,0.003073
15,0.00566
16,0.00338
17,0.003918
18,0.00393
19,0.002285
20,0.002602
21,0.00157
22,0.00325
23,0.001904
24,0.002459
25,0.006527
26,0.00931
27,0.002926
28,0.006046
29,0.005993
30,0.00255
31,0.0049
32,0.002302
33,0.001488
34,0.00165
35,0.001411
36,0.8643
37,0.0009017
38,0.002514
39,0.002245
40,0.002256
41,0.001405
42,0.0018635
43,0.002794
44,0.001915
45,0.002062
46,0.006668
47,0.001001
48,0.001572
49,0.002735
50,0.00286
51,0.001908
52,0.002455
53,0.002052
54,0.002851
55,0.01168
56,0.002499
57,0.005302
58,0.00296
59,0.004883
60,0.01259
61,0.003185
62,0.00222
63,0.002426
64,0.00179
65,0.001739
66,0.001416
67,0.001726
68,0.00391
69,0.004204
70,0.002625
71,0.002323
72,0.003061
73,0.00249
74,0.00215
75,0.002007
76,0.002275
77,0.002302
78,0.001995
79,0.008484
80,0.02411
81,0.00431
82,0.00952
83,0.00645
84,0.003653
85,0.003246
86,0.00249
87,0.003487
88,0.002878
89,0.003801
90,0.00707
91,0.002562
92,0.002934
93,0.02419
94,0.003483
95,0.005547
96,0.006256
97,0.004326
98,0.006695
99,0.003555
100,0.003561
101,0.00547
102,0.005356
103,0.005764
104,0.0098
105,0.007683
106,0.011826
107,0.006435
108,0.004772
109,0.005436
110,0.01064
111,0.002796
112,0.003622
113,0.002913
114,0.004837
115,0.002855
116,0.004986
117,0.00561
118,0.003365
119,0.0062
120,0.01003
121,0.00692
122,0.007206
123,0.01235
124,0.0175
125,0.01019
126,0.007835
127,0.01994
128,0.009254
129,0.01246
130,0.006798
131,0.01222
132,0.0343
133,0.007088
134,0.00789
135,0.011826
136,0.01294
137,0.008545
138,0.014915
139,0.0348
140,0.027
141,0.01551
142,0.01084
143,0.01921
144,0.0102
145,0.02124
146,0.05063
147,0.00996
148,0.01217
149,0.02814
150,0.03476
151,0.03735
152,0.02779
153,0.02292
154,0.0362
