,0
0,0.0328
1,0.02565
2,0.008934
3,0.00738
4,0.01247
5,0.006752
6,0.007168
7,0.00506
8,0.501
9,0.003866
10,0.00791
11,0.004612
12,0.007294
13,0.005825
14,0.00517
15,0.006714
16,0.0051
17,0.00658
18,0.00607
19,0.005177
20,0.004353
21,0.002605
22,0.00671
23,0.003056
24,0.003273
25,0.00425
26,0.006935
27,0.005733
28,0.004593
29,0.003304
30,0.00335
31,0.011475
32,0.005554
33,0.003496
34,0.003298
35,0.00262
36,0.846
37,0.002275
38,0.003468
39,0.003664
40,0.003138
41,0.002922
42,0.003626
43,0.003853
44,0.002861
45,0.003288
46,0.00954
47,0.001993
48,0.002787
49,0.00486
50,0.004726
51,0.003735
52,0.003008
53,0.00286
54,0.003145
55,0.00909
56,0.002954
57,0.00622
58,0.004295
59,0.005737
60,0.0177
61,0.004482
62,0.003563
63,0.010185
64,0.003073
65,0.00469
66,0.00396
67,0.006016
68,0.005157
69,0.00718
70,0.004913
71,0.003983
72,0.006443
73,0.00637
74,0.003668
75,0.002413
76,0.002695
77,0.002518
78,0.003767
79,0.02667
80,0.05032
81,0.0125
82,0.01519
83,0.01113
84,0.00829
85,0.00766
86,0.007763
87,0.00907
88,0.010284
89,0.00808
90,0.01732
91,0.00745
92,0.006565
93,0.0334
94,0.005943
95,0.009575
96,0.01894
97,0.01793
98,0.03516
99,0.0217
100,0.01862
101,0.02055
102,0.01901
103,0.03038
104,0.0673
105,0.04178
106,0.0351
107,0.0396
108,0.0447
109,0.06073
110,0.0654
