,0
0,0.01756
1,0.03427
2,0.00954
3,0.00717
4,0.00787
5,0.005524
6,0.005272
7,0.00491
8,0.4995
9,0.004272
10,0.006756
11,0.003504
12,0.006344
13,0.00963
14,0.00848
15,0.01463
16,0.01223
17,0.02005
18,0.011795
19,0.006535
20,0.005558
21,0.002008
22,0.003792
23,0.00259
24,0.00691
25,0.005806
26,0.010704
27,0.003418
28,0.006134
29,0.004543
30,0.005104
31,0.011086
32,0.007248
33,0.00528
34,0.004124
35,0.001909
36,0.8594
37,0.001763
38,0.003117
39,0.003616
40,0.006756
41,0.003265
42,0.004696
43,0.005604
44,0.004864
45,0.00283
46,0.008484
47,0.00217
48,0.00206
49,0.004734
50,0.00464
51,0.004642
52,0.00797
53,0.00309
54,0.00458
55,0.00821
56,0.00401
57,0.004707
58,0.00448
59,0.006077
60,0.00804
61,0.004692
62,0.003107
63,0.003094
64,0.00253
65,0.002506
66,0.003181
67,0.00315
68,0.00443
69,0.004223
70,0.004528
71,0.00285
72,0.003439
73,0.005062
74,0.005512
75,0.004456
76,0.003736
77,0.005512
78,0.004852
79,0.03056
80,0.0747
81,0.04294
