,0
0,0.01706
1,0.0233
2,0.005722
3,0.003307
4,0.0046
5,0.002378
6,0.002272
7,0.002026
8,0.518
9,0.00216
10,0.005074
11,0.001133
12,0.00263
13,0.00516
14,0.003353
15,0.004967
16,0.002981
17,0.003223
18,0.003546
19,0.004288
20,0.002718
21,0.001757
22,0.002861
23,0.001941
24,0.001901
25,0.00322
26,0.003317
27,0.002707
28,0.001305
29,0.001618
30,0.002462
31,0.00456
32,0.003895
33,0.003283
34,0.001822
35,0.001369
36,0.8496
37,0.00103
38,0.00226
39,0.002228
40,0.002308
41,0.001639
42,0.002316
43,0.0025
44,0.001764
45,0.001941
46,0.00603
47,0.0009437
48,0.00131
49,0.003975
50,0.002258
51,0.003304
52,0.001781
53,0.001909
54,0.002316
55,0.0065
56,0.001871
57,0.002764
58,0.001952
59,0.00389
60,0.005836
61,0.001795
62,0.00173
63,0.002056
64,0.001709
65,0.001254
66,0.001903
67,0.001527
68,0.003103
69,0.003399
70,0.001974
71,0.001795
72,0.001974
73,0.00501
74,0.00503
75,0.002108
76,0.002178
77,0.002157
78,0.001877
79,0.007183
80,0.01833
81,0.00652
82,0.00789
83,0.006306
84,0.004368
85,0.004402
86,0.00485
87,0.00629
88,0.006207
89,0.005886
90,0.00673
91,0.003036
92,0.003103
93,0.02182
94,0.003605
95,0.00496
96,0.00684
97,0.0097
98,0.00719
99,0.00783
100,0.01215
101,0.01094
102,0.00607
103,0.011925
104,0.01913
105,0.01188
106,0.013435
107,0.01112
108,0.01344
109,0.01413
110,0.01137
111,0.005905
112,0.011734
113,0.010376
114,0.012955
115,0.00586
116,0.0129
117,0.01614
118,0.008896
119,0.00821
120,0.02171
121,0.0459
122,0.02852
