,0
0,0.02084
1,0.0185
2,0.00619
3,0.003115
4,0.004356
5,0.00218
6,0.002327
7,0.001848
8,0.511
9,0.002481
10,0.005993
11,0.00163
12,0.002478
13,0.003181
14,0.002617
15,0.00473
16,0.002447
17,0.002062
18,0.002281
19,0.003277
20,0.002829
21,0.001364
22,0.002483
23,0.001393
24,0.001743
25,0.00198
26,0.005127
27,0.00243
28,0.002363
29,0.001557
30,0.001944
31,0.00481
32,0.00296
33,0.002491
34,0.002407
35,0.001405
36,0.8203
37,0.000815
38,0.00216
39,0.001987
40,0.002396
41,0.001852
42,0.00215
43,0.00261
44,0.001896
45,0.002127
46,0.00588
47,0.001104
48,0.001955
49,0.003529
50,0.001782
51,0.0017805
52,0.002209
53,0.001638
54,0.00254
55,0.007668
56,0.002466
57,0.003065
58,0.001704
59,0.003454
60,0.00807
61,0.002338
62,0.002295
63,0.00479
64,0.003006
65,0.001275
66,0.003653
67,0.002768
68,0.003235
69,0.003605
70,0.002914
71,0.002628
72,0.002192
73,0.004223
74,0.00343
75,0.002085
76,0.001743
77,0.00273
78,0.002218
79,0.006527
80,0.00936
81,0.002884
82,0.006027
83,0.004166
84,0.003214
85,0.00254
86,0.002146
87,0.002981
88,0.002672
89,0.002504
90,0.00477
91,0.001803
92,0.00207
93,0.01979
94,0.001733
95,0.002558
96,0.004154
97,0.002306
98,0.00399
99,0.001887
100,0.002434
101,0.002632
102,0.002657
103,0.002934
104,0.006172
105,0.003553
106,0.00619
107,0.005276
108,0.003963
109,0.002714
110,0.006554
111,0.0013685
112,0.002356
113,0.00241
114,0.002834
115,0.001004
116,0.003073
117,0.003168
118,0.001494
119,0.002703
120,0.005733
121,0.0026
122,0.002829
123,0.005424
124,0.003809
125,0.002817
126,0.002838
127,0.005062
128,0.004696
129,0.003284
130,0.001683
131,0.004173
132,0.003906
133,0.001393
134,0.002165
135,0.00253
136,0.00235
137,0.00244
138,0.00565
139,0.0038
140,0.004974
141,0.006145
142,0.003637
143,0.007107
144,0.002888
145,0.00516
146,0.00678
147,0.002228
148,0.003344
149,0.004753
150,0.00603
151,0.005062
152,0.003138
153,0.003822
154,0.006065
155,0.00675
156,0.00815
157,0.01842
158,0.01457
159,0.01383
160,0.01593
161,0.0339
162,0.0249
163,0.02472
164,0.0921
165,0.1616
166,0.0733
167,0.05823
168,0.03616
169,0.0375
170,0.1114
