,0
0,0.02188
1,0.02785
2,0.007347
3,0.004364
4,0.0067
5,0.003859
6,0.003891
7,0.003052
8,0.4983
9,0.002392
10,0.00565
11,0.001799
12,0.00396
13,0.008385
14,0.00468
15,0.00638
16,0.004665
17,0.00713
18,0.007866
19,0.005405
20,0.003672
21,0.002157
22,0.003485
23,0.002522
24,0.003405
25,0.004684
26,0.00534
27,0.003967
28,0.003347
29,0.00284
30,0.004242
31,0.00651
32,0.005215
33,0.00399
34,0.002302
35,0.001682
36,0.8594
37,0.00126
38,0.002373
39,0.002733
40,0.00376
41,0.00262
42,0.002897
43,0.003191
44,0.002728
45,0.00239
46,0.00709
47,0.001296
48,0.001904
49,0.004177
50,0.00294
51,0.0037
52,0.003517
53,0.003054
54,0.003437
55,0.00851
56,0.002531
57,0.00381
58,0.004253
59,0.006264
60,0.01031
61,0.003675
62,0.002785
63,0.00306
64,0.001978
65,0.001348
66,0.002764
67,0.001986
68,0.00321
69,0.00377
70,0.003714
71,0.002434
72,0.003311
73,0.004005
74,0.005135
75,0.002218
76,0.00203
77,0.002354
78,0.002674
79,0.011314
80,0.02422
81,0.00888
82,0.01101
83,0.008385
84,0.00608
85,0.0085
86,0.0069
87,0.01061
88,0.00852
89,0.0086
90,0.012764
91,0.006496
92,0.006313
93,0.02815
94,0.00924
95,0.015144
96,0.03513
97,0.0532
98,0.03625
99,0.05112
