,0
0,0.01682
1,0.02277
2,0.00768
3,0.003963
4,0.004524
5,0.003035
6,0.002241
7,0.002161
8,0.4924
9,0.00213
10,0.005516
11,0.001312
12,0.002129
13,0.003117
14,0.002937
15,0.00468
16,0.002522
17,0.002865
18,0.003384
19,0.003832
20,0.00303
21,0.001567
22,0.00216
23,0.001771
24,0.002752
25,0.003786
26,0.005672
27,0.002743
28,0.002962
29,0.005695
30,0.00472
31,0.00307
32,0.002413
33,0.001927
34,0.001355
35,0.001168
36,0.86
37,0.0009084
38,0.001571
39,0.001593
40,0.001822
41,0.001784
42,0.002337
43,0.002924
44,0.003677
45,0.00201
46,0.005013
47,0.001127
48,0.002586
49,0.00257
50,0.00167
51,0.001505
52,0.001863
53,0.001668
54,0.002209
55,0.00851
56,0.001879
57,0.003967
58,0.00189
59,0.003027
60,0.007374
61,0.001684
62,0.001584
63,0.001957
64,0.001486
65,0.001027
66,0.001449
67,0.001467
68,0.002666
69,0.00289
70,0.002079
71,0.0019045
72,0.002262
73,0.0032
74,0.003042
75,0.001841
76,0.00204
77,0.002136
78,0.00439
79,0.004116
80,0.010765
81,0.003277
82,0.007156
83,0.005062
84,0.002817
85,0.002863
86,0.002285
87,0.003025
88,0.002888
89,0.003044
90,0.00472
91,0.001691
92,0.002033
93,0.02068
94,0.002352
95,0.003674
96,0.003029
97,0.003447
98,0.00484
99,0.003569
100,0.003023
101,0.003538
102,0.00339
103,0.00486
104,0.00921
105,0.004593
106,0.008354
107,0.003304
108,0.003242
109,0.003914
110,0.007572
111,0.002287
112,0.002226
113,0.002432
114,0.00291
115,0.001838
116,0.003193
117,0.004673
118,0.001529
119,0.003113
120,0.003696
121,0.00339
122,0.005856
123,0.006233
124,0.00738
125,0.003824
126,0.003511
127,0.00693
128,0.003803
129,0.007637
130,0.002754
131,0.005577
132,0.0141
133,0.002378
134,0.003567
135,0.004868
136,0.003489
137,0.003557
138,0.006897
139,0.00796
140,0.00687
141,0.00461
142,0.004345
143,0.00767
144,0.00364
145,0.007317
146,0.01625
147,0.002916
148,0.003986
149,0.00724
150,0.008064
151,0.005943
152,0.00397
153,0.003956
154,0.00651
155,0.005802
156,0.007587
157,0.02924
158,0.03152
159,0.02496
160,0.0324
161,0.0681
162,0.06033
163,0.04456
