,0
0,0.3147
1,0.4773
2,0.1238
3,0.06476
4,0.08435
5,0.04715
6,0.0388
7,0.04767
8,13.35
9,0.04196
10,0.0942
11,0.02534
12,0.0423
13,0.0571
14,0.05484
15,0.0943
16,0.04425
17,0.04013
18,0.0371
19,0.05417
20,0.04666
21,0.0326
22,0.06134
23,0.03067
24,0.03226
25,0.03925
26,0.0756
27,0.03647
28,0.01862
29,0.03546
30,0.03177
31,0.06088
32,0.04092
33,0.03357
34,0.0317
35,0.03099
36,24.73
37,0.02432
38,0.04343
39,0.04047
40,0.0356
41,0.02423
42,0.0347
43,0.04657
44,0.02487
45,0.02191
46,0.0862
47,0.01129
48,0.01782
49,0.03455
50,0.04184
51,0.0222
52,0.02647
53,0.02396
54,0.02591
55,0.12335
56,0.02164
57,0.0295
58,0.0223
59,0.03117
60,0.0771
61,0.01408
62,0.014015
63,0.0226
64,0.02574
65,0.02567
66,0.02136
67,0.02176
68,0.04175
69,0.0473
70,0.01837
71,0.01834
72,0.02686
73,0.0357
74,0.0503
75,0.03214
76,0.0281
77,0.03032
78,0.03326
79,0.0922
80,0.235
81,0.05212
82,0.1049
83,0.0684
84,0.0381
85,0.0315
86,0.03354
87,0.05463
88,0.0454
89,0.05484
90,0.0861
91,0.0377
92,0.03464
93,0.372
94,0.0369
95,0.0461
96,0.0547
97,0.05832
98,0.068
99,0.0461
100,0.03763
101,0.05966
102,0.0916
103,0.0753
104,0.3662
105,0.10364
106,0.09686
107,0.05118
108,0.0418
109,0.06216
110,0.1235
111,0.03738
112,0.03647
113,0.03754
114,0.05618
115,0.04404
116,0.05945
117,0.181
118,0.03918
119,0.05444
120,0.06854
121,0.0692
122,0.0903
123,0.11884
124,0.2096
125,0.09186
126,0.06775
127,0.11096
128,0.06113
129,0.0808
130,0.0672
131,0.07654
132,0.1272
133,0.04718
134,0.05722
135,0.08057
136,0.0686
137,0.05197
138,0.117
139,0.0851
140,0.0742
141,0.0692
142,0.05194
143,0.1316
144,0.05316
145,0.071
146,0.1431
147,0.04666
148,0.0488
149,0.0774
150,0.1108
151,0.0625
152,0.04916
153,0.03604
154,0.059
155,0.05814
156,0.07983
157,0.365
158,0.1821
159,0.2014
160,0.1566
161,0.3347
162,0.3452
163,0.2096
164,0.4097
165,0.4739
166,0.4785
167,0.3215
168,0.0972
169,0.2369
170,0.2988
171,0.2734
172,0.3804
173,0.4226
174,0.521
175,0.1804
176,0.5996
177,0.5107
178,0.8105
179,0.285
180,0.3232
181,1.1
182,0.5757
183,0.448
184,0.3962
185,0.1576
186,0.1818
187,0.3037
188,0.368
189,0.3071
190,0.2566
191,0.547
192,0.4692
193,1.027
194,1.255
