,0
0,0.3535
1,0.663
2,0.1776
3,0.1049
4,0.1448
5,0.0749
6,0.06964
7,0.06015
8,15.41
9,0.0914
10,0.1621
11,0.03818
12,0.078
13,0.1169
14,0.08813
15,0.1595
16,0.09827
17,0.08673
18,0.0792
19,0.0951
20,0.093
21,0.04868
22,0.0813
23,0.05914
24,0.06155
25,0.06476
26,0.1115
27,0.0682
28,0.03577
29,0.04453
30,0.06274
31,0.1377
32,0.10504
33,0.07745
34,0.0679
35,0.04904
36,25.34
37,0.03387
38,0.08545
39,0.0739
40,0.0634
41,0.04993
42,0.05902
43,0.0745
44,0.04126
45,0.05228
46,0.1787
47,0.02701
48,0.03442
49,0.0989
50,0.0708
51,0.0796
52,0.052
53,0.05115
54,0.0718
55,0.2137
56,0.05676
57,0.0687
58,0.04657
59,0.0803
60,0.1421
61,0.0354
62,0.03354
63,0.05658
64,0.05176
65,0.03833
66,0.05948
67,0.04724
68,0.09406
69,0.1092
70,0.03592
71,0.03604
72,0.053
73,0.1121
74,0.1131
75,0.05734
76,0.0543
77,0.05484
78,0.05618
79,0.2352
80,0.5273
81,0.1917
82,0.2329
83,0.2025
84,0.1046
85,0.1061
86,0.1958
87,0.3428
88,0.3022
89,0.2593
90,0.282
91,0.1171
92,0.10736
93,0.776
94,0.154
95,0.2043
96,0.2832
97,0.4216
98,0.3354
99,0.3347
100,0.5796
101,0.752
102,0.606
103,0.7866
104,1.864
105,0.919
106,0.7334
107,0.593
108,0.7983
109,0.784
110,0.6387
111,0.6855
112,0.969
