,0
0,0.514
1,0.789
2,0.2484
3,0.1284
4,0.1454
5,0.09656
6,0.07275
7,0.07245
8,14.88
9,0.06213
10,0.1554
11,0.04077
12,0.0723
13,0.1282
14,0.10535
15,0.1565
16,0.0836
17,0.0967
18,0.08374
19,0.1163
20,0.1284
21,0.05237
22,0.0724
23,0.0523
24,0.08405
25,0.06354
26,0.2253
27,0.07025
28,0.05157
29,0.06464
30,0.11536
31,0.1273
32,0.09216
33,0.07715
34,0.07043
35,0.04614
36,26.72
37,0.04733
38,0.0576
39,0.05692
40,0.07275
41,0.0629
42,0.0848
43,0.11194
44,0.11365
45,0.058
46,0.1523
47,0.03738
48,0.0647
49,0.08716
50,0.06192
51,0.0574
52,0.08575
53,0.069
54,0.0763
55,0.308
56,0.0725
57,0.0892
58,0.05994
59,0.0882
60,0.1556
61,0.0557
62,0.05008
63,0.0554
64,0.05804
65,0.0375
66,0.07434
67,0.04965
68,0.08636
69,0.08813
70,0.07385
71,0.0556
72,0.06024
73,0.09424
74,0.1837
75,0.09186
76,0.0646
77,0.0887
78,0.0921
79,0.1632
80,0.357
81,0.1483
82,0.2039
83,0.1755
84,0.1345
85,0.11615
86,0.08105
87,0.1138
88,0.102
89,0.0967
90,0.1556
91,0.0619
92,0.058
93,0.5894
94,0.0757
95,0.0948
96,0.10187
97,0.1378
98,0.1487
99,0.1104
100,0.07996
101,0.1119
102,0.1157
103,0.2134
104,0.6387
105,0.1436
106,0.1807
107,0.0906
108,0.07654
109,0.0991
110,0.2092
111,0.04745
112,0.0462
113,0.0579
114,0.06506
115,0.04388
116,0.07825
117,0.1832
118,0.0369
119,0.0636
120,0.11584
121,0.0851
122,0.08295
123,0.1655
124,0.2001
125,0.08746
126,0.06976
127,0.1242
128,0.0892
129,0.0984
130,0.0651
131,0.09564
132,0.1186
133,0.05432
134,0.06366
135,0.0862
136,0.0654
137,0.05862
138,0.1613
139,0.1013
140,0.09357
141,0.06866
142,0.06216
143,0.1913
144,0.05807
145,0.08496
146,0.1515
147,0.0494
148,0.05972
149,0.09283
150,0.1177
151,0.08527
152,0.0726
153,0.07263
154,0.10345
155,0.1103
156,0.2484
157,0.8696
158,0.875
159,0.61
160,0.8877
161,1.585
