,0
0,0.585
1,0.725
2,0.1917
3,0.1121
4,0.1349
5,0.07025
6,0.05988
7,0.0667
8,12.63
9,0.06885
10,0.1815
11,0.0483
12,0.0587
13,0.0647
14,0.07556
15,0.1516
16,0.0816
17,0.0675
18,0.0545
19,0.0678
20,0.0691
21,0.04932
22,0.0855
23,0.04663
24,0.04428
25,0.06274
26,0.1547
27,0.12213
28,0.05417
29,0.04758
30,0.03812
31,0.08307
32,0.06232
33,0.0473
34,0.0487
35,0.0446
36,21.08
37,0.02959
38,0.06168
39,0.05237
40,0.05017
41,0.03506
42,0.04465
43,0.06476
44,0.03513
45,0.04865
46,0.1547
47,0.02383
48,0.03864
49,0.0674
50,0.0613
51,0.03244
52,0.05032
53,0.04358
54,0.05573
55,0.2206
56,0.04706
57,0.07367
58,0.04025
59,0.0875
60,0.323
61,0.04898
62,0.05267
63,0.107
64,0.0666
65,0.03806
66,0.05212
67,0.06696
68,0.1073
69,0.1199
70,0.0521
71,0.06143
72,0.04437
73,0.0709
74,0.0832
75,0.05322
76,0.05112
77,0.06287
78,0.06113
79,0.1243
80,0.4177
81,0.07874
82,0.2289
83,0.1462
84,0.071
85,0.0604
86,0.04837
87,0.07416
88,0.05206
89,0.0716
90,0.131
91,0.04327
92,0.06287
93,0.637
94,0.0454
95,0.05508
96,0.07275
97,0.06287
98,0.1141
99,0.05182
100,0.05383
101,0.0703
102,0.06476
103,0.0945
104,0.1937
105,0.10443
106,0.1019
107,0.06934
108,0.05798
109,0.08014
110,0.1868
111,0.03053
112,0.03937
113,0.0397
114,0.0824
115,0.02826
116,0.09546
117,0.0949
118,0.04388
119,0.05148
120,0.0937
121,0.0632
122,0.05453
123,0.0974
124,0.1098
125,0.0878
126,0.09436
127,0.0841
128,0.07007
129,0.07495
130,0.04257
131,0.0703
132,0.11475
133,0.05267
134,0.0752
135,0.07697
136,0.07635
137,0.0785
138,0.1704
139,0.0837
140,0.10974
141,0.07825
142,0.0603
143,0.1957
144,0.06226
145,0.09247
146,0.2081
147,0.06174
148,0.08417
149,0.1301
150,0.1907
151,0.1505
152,0.1077
153,0.1125
154,0.1549
155,0.1219
156,0.2006
157,0.873
158,0.4187
159,0.412
160,0.3616
161,0.751
162,0.8643
163,0.6196
164,1.515
165,4.0
166,3.346
167,2.236
