,0
0,0.7812
1,0.734
2,0.1906
3,0.1091
4,0.1194
5,0.08514
6,0.0703
7,0.06235
8,12.08
9,0.05527
10,0.146
11,0.04083
12,0.0862
13,0.10016
14,0.0981
15,0.1771
16,0.08325
17,0.12085
18,0.07605
19,0.08545
20,0.05695
21,0.03214
22,0.09656
23,0.0363
24,0.04608
25,0.057
26,0.0772
27,0.0427
28,0.0383
29,0.04538
30,0.06866
31,0.3145
32,0.10706
33,0.05167
34,0.03748
35,0.03897
36,20.52
37,0.02573
38,0.06137
39,0.05185
40,0.05353
41,0.03583
42,0.05478
43,0.07104
44,0.04718
45,0.0527
46,0.169
47,0.0272
48,0.04492
49,0.0882
50,0.0946
51,0.07245
52,0.06232
53,0.04968
54,0.0478
55,0.1715
56,0.03745
57,0.0507
58,0.05563
59,0.0871
60,0.1212
61,0.02885
62,0.03069
63,0.04947
64,0.05536
65,0.088
66,0.0507
67,0.03833
68,0.0808
69,0.0875
70,0.03293
71,0.02779
72,0.05673
73,0.0939
74,0.0655
75,0.03995
76,0.04712
77,0.04114
78,0.05695
79,0.62
80,0.9927
81,0.2793
82,0.2832
83,0.269
84,0.1381
85,0.11316
86,0.1163
87,0.0977
88,0.1378
89,0.1499
90,0.2178
91,0.06757
92,0.0643
93,0.544
94,0.08167
95,0.1538
96,0.742
97,0.2705
98,0.2837
99,0.172
100,0.162
101,0.1583
102,0.0977
103,0.1469
104,0.2406
105,0.1558
106,0.3154
107,0.2365
108,0.315
109,0.2408
110,0.5356
111,0.0882
112,0.1121
113,0.0939
114,0.10516
115,0.03918
116,0.1043
117,0.1122
118,0.06223
119,0.2167
120,0.857
121,0.3945
122,0.3784
123,0.4846
124,0.528
125,0.208
126,0.1595
127,0.573
128,0.752
129,0.635
130,0.35
131,0.3618
132,0.8237
133,0.2407
134,0.1442
135,0.3083
136,0.4294
137,0.1401
138,0.2788
139,0.533
140,0.4167
141,0.3052
142,0.4055
143,0.553
144,0.2029
145,0.3833
146,0.706
147,0.2573
148,0.1362
149,0.2761
150,0.2964
151,0.2776
152,0.1908
153,0.1304
154,0.336
155,0.7153
156,0.925
