,0
0,285.5
1,286.0
2,89.06
3,77.25
4,94.5
5,65.7
6,58.1
7,57.34
8,1589.0
9,34.56
10,38.97
11,34.06
12,43.97
13,54.38
14,34.16
15,41.0
16,28.08
17,41.03
18,41.06
19,39.2
20,40.5
21,21.98
22,26.2
23,19.95
24,30.84
25,27.44
26,32.97
27,21.03
28,22.9
29,18.31
30,25.89
31,45.5
32,27.34
33,25.67
34,29.97
35,14.34
36,878.0
37,14.27
38,15.14
39,12.234
40,14.25
41,17.38
42,17.72
43,17.42
44,17.64
45,14.17
46,19.83
47,10.48
48,11.68
49,20.72
50,8.29
51,15.48
52,15.07
53,8.63
54,13.05
55,12.445
56,11.23
57,14.375
58,18.11
59,23.17
60,13.5
61,15.93
62,12.48
63,12.84
64,9.17
65,3.777
66,11.805
67,7.645
68,5.32
69,4.984
70,7.55
71,4.105
72,2.752
73,2.541
74,1.462
