,0
0,0.482
1,0.8037
2,0.19
3,0.1309
4,0.1786
5,0.1234
6,0.10144
7,0.0975
8,14.695
9,0.0836
10,0.1713
11,0.06665
12,0.1228
13,0.1919
14,0.10046
15,0.1776
16,0.1164
17,0.1586
18,0.1603
19,0.10077
20,0.08435
21,0.04678
22,0.1205
23,0.05627
24,0.06995
25,0.0837
26,0.1282
27,0.0691
28,0.05618
29,0.05676
30,0.12067
31,0.289
32,0.1793
33,0.0808
34,0.0596
35,0.04938
36,23.78
37,0.03268
38,0.08154
39,0.0886
40,0.07306
41,0.0712
42,0.057
43,0.07214
44,0.0719
45,0.05402
46,0.1722
47,0.04868
48,0.07764
49,0.12317
50,0.1127
51,0.08374
52,0.08905
53,0.06384
54,0.07434
55,0.2014
56,0.0626
57,0.06537
58,0.1075
59,0.11615
60,0.1558
61,0.06042
62,0.06073
63,0.0804
64,0.1167
65,0.0636
66,0.2428
67,0.0523
68,0.0865
69,0.1025
70,0.077
71,0.06128
72,0.0891
73,0.0801
74,0.11566
75,0.0483
76,0.05087
77,0.0508
78,0.0925
79,0.509
80,1.036
81,0.2515
82,0.2534
83,0.1975
84,0.159
85,0.1891
86,0.1724
87,0.311
88,0.1866
89,0.1737
90,0.2295
91,0.1149
92,0.09033
93,0.696
94,0.1638
95,0.506
96,0.867
97,0.5186
98,0.3547
99,0.5464
100,0.567
101,0.5073
102,0.5513
103,0.6455
104,2.732
105,0.823
106,2.14
107,1.224
