,0
0,0.7217
1,0.9546
2,0.2546
3,0.1992
4,0.2754
5,0.1554
6,0.1467
7,0.1221
8,14.586
9,0.0947
10,0.2036
11,0.09814
12,0.1683
13,0.2563
14,0.1925
15,0.259
16,0.2175
17,0.2642
18,0.2646
19,0.1809
20,0.1836
21,0.1267
22,0.196
23,0.1398
24,0.1504
25,0.1885
26,0.3057
27,0.6025
28,0.1527
29,0.109
30,0.1373
31,0.2305
32,0.1527
33,0.1306
34,0.1865
35,0.1295
36,23.44
37,0.0889
38,0.2935
39,0.1151
40,0.1312
41,0.0958
42,0.12366
43,0.1344
44,0.0975
45,0.0817
46,0.2094
47,0.047
48,0.0701
49,0.12427
50,0.10046
51,0.08575
52,0.1549
53,0.1469
54,0.2208
55,0.2986
56,0.1132
57,0.2225
58,0.1287
59,0.2827
60,0.4214
61,0.1696
62,0.1188
63,0.1393
64,0.06177
65,0.058
66,0.07983
67,0.0915
68,0.1285
69,0.1337
70,0.1603
71,0.111
72,0.1295
73,0.154
74,0.1305
75,0.1095
76,0.1384
77,0.1132
78,0.1224
79,0.4412
80,1.128
81,0.4355
82,0.4832
83,0.3535
84,0.3594
85,0.4104
86,0.5557
87,0.9546
88,1.137
89,1.257
90,2.479
91,1.887
