,0
0,0.3633
1,0.74
2,0.1963
3,0.1373
4,0.1655
5,0.0807
6,0.0668
7,0.0742
8,14.95
9,0.0874
10,0.171
11,0.04147
12,0.0768
13,0.0909
14,0.0954
15,0.1909
16,0.1243
17,0.1262
18,0.08246
19,0.08826
20,0.08484
21,0.04453
22,0.0908
23,0.055
24,0.0704
25,0.0741
26,0.1353
27,0.06964
28,0.05856
29,0.0605
30,0.0584
31,0.1562
32,0.10034
33,0.05518
34,0.05264
35,0.04095
36,25.44
37,0.02843
38,0.0702
39,0.0639
40,0.06726
41,0.04102
42,0.05588
43,0.0784
44,0.05548
45,0.04913
46,0.1876
47,0.0271
48,0.03008
49,0.0722
50,0.0834
51,0.05594
52,0.05573
53,0.0488
54,0.06122
55,0.2234
56,0.05814
57,0.075
58,0.04764
59,0.08307
60,0.16
61,0.0524
62,0.0381
63,0.0476
64,0.04697
65,0.04987
66,0.0455
67,0.04794
68,0.113
69,0.121
70,0.06223
71,0.04327
72,0.04712
73,0.0806
74,0.0684
75,0.06094
76,0.06216
77,0.06134
78,0.0494
79,0.2764
80,0.65
81,0.235
82,0.3528
83,0.2766
84,0.1841
85,0.1418
86,0.147
87,0.1859
88,0.3008
89,0.2732
90,0.398
91,0.1958
92,0.1719
93,0.8794
94,0.2369
95,0.2307
96,0.4275
97,0.64
98,0.6187
99,0.8896
100,0.4438
101,0.708
102,0.5073
103,0.82
104,1.905
105,0.966
106,0.854
107,0.615
108,0.8784
109,1.116
