,0
0,0.685
1,0.9766
2,0.256
3,0.1903
4,0.2505
5,0.1952
6,0.2001
7,0.1458
8,15.32
9,0.1077
10,0.216
11,0.131
12,0.2603
13,0.311
14,0.2167
15,0.2306
16,0.1814
17,0.3289
18,0.8984
19,0.208
20,0.1464
21,0.07043
22,0.0983
23,0.0811
24,0.1831
25,0.1987
26,0.316
27,0.1698
28,0.1503
29,0.2275
30,0.2612
31,0.291
32,0.2339
33,0.1613
34,0.09406
35,0.05225
36,25.0
37,0.04538
38,0.08276
39,0.1097
40,0.169
41,0.1052
42,0.09784
43,0.1128
44,0.1194
45,0.0774
46,0.2344
47,0.05438
48,0.09076
49,0.1644
50,0.1112
51,0.10535
52,0.11475
53,0.0949
54,0.1525
55,0.247
56,0.1156
57,0.1876
58,0.1957
59,0.2438
60,0.3232
61,0.1487
62,0.1272
63,0.12006
64,0.0801
65,0.0599
66,0.0931
67,0.09534
68,0.1092
69,0.11487
70,0.11774
71,0.09955
72,0.1511
73,0.1932
74,0.1703
75,0.1241
76,0.12085
77,0.1843
78,0.1523
79,0.781
80,1.775
81,2.23
82,1.409
83,1.133
84,2.006
