,0
0,1.406
1,1.271
2,0.2238
3,0.2042
4,0.2076
5,0.1039
6,0.1277
7,0.1121
8,15.01
9,0.1014
10,0.2186
11,0.0852
12,0.1678
13,0.2009
14,0.147
15,0.2573
16,0.1699
17,0.2063
18,0.221
19,0.209
20,0.2081
21,0.1021
22,0.2008
23,0.1666
24,0.2229
25,0.1685
26,0.285
27,0.177
28,0.1305
29,0.2479
30,0.2568
31,0.414
32,0.2214
33,0.1824
34,0.1747
35,0.1011
36,25.2
37,0.09705
38,0.1912
39,0.1943
40,0.1827
41,0.2164
42,0.1901
43,0.2435
44,0.2216
45,0.167
46,0.353
47,0.1322
48,0.2017
49,0.2744
50,0.1431
51,0.2029
52,0.2595
53,0.1542
54,0.2467
55,0.435
56,0.2551
57,0.3577
58,0.308
59,0.2345
60,0.4202
61,0.1389
62,0.1459
63,0.1827
64,0.1199
65,0.08984
66,0.184
67,0.2103
68,0.197
69,0.228
70,0.1965
71,0.1952
72,0.51
73,0.8213
74,1.434
75,1.984
76,1.119
77,1.45
