,0
0,0.678
1,0.8633
2,0.2278
3,0.1353
4,0.2076
5,0.1196
6,0.1206
7,0.0946
8,15.445
9,0.07416
10,0.1752
11,0.05576
12,0.12274
13,0.26
14,0.1451
15,0.1978
16,0.1447
17,0.2211
18,0.2439
19,0.1676
20,0.11383
21,0.0669
22,0.10803
23,0.0782
24,0.1055
25,0.1453
26,0.1655
27,0.123
28,0.10376
29,0.088
30,0.1315
31,0.2019
32,0.1616
33,0.12366
34,0.07135
35,0.05215
36,26.64
37,0.03906
38,0.07355
39,0.0847
40,0.1165
41,0.08124
42,0.08984
43,0.09894
44,0.08453
45,0.0741
46,0.2198
47,0.0402
48,0.05902
49,0.1295
50,0.0911
51,0.1147
52,0.109
53,0.09467
54,0.10657
55,0.2637
56,0.0785
57,0.11816
58,0.1318
59,0.1942
60,0.3196
61,0.11395
62,0.0863
63,0.09485
64,0.06134
65,0.04178
66,0.0857
67,0.06152
68,0.0995
69,0.1169
70,0.1151
71,0.07544
72,0.10266
73,0.12415
74,0.1592
75,0.0688
76,0.0629
77,0.07294
78,0.0829
79,0.3508
80,0.7505
81,0.2754
82,0.3413
83,0.26
84,0.1885
85,0.2634
86,0.2139
87,0.329
88,0.2642
89,0.2666
90,0.3958
91,0.2014
92,0.1957
93,0.8726
94,0.2864
95,0.4695
96,1.089
97,1.649
98,1.124
99,1.585
