,0
0,0.5693
1,1.11
2,0.309
3,0.2324
4,0.2551
5,0.179
6,0.1709
7,0.159
8,16.19
9,0.1384
10,0.2189
11,0.1135
12,0.2056
13,0.312
14,0.2747
15,0.474
16,0.3962
17,0.65
18,0.3823
19,0.2118
20,0.18
21,0.06506
22,0.12286
23,0.0839
24,0.2239
25,0.1881
26,0.347
27,0.1108
28,0.1987
29,0.1472
30,0.1654
31,0.3591
32,0.2349
33,0.1711
34,0.1337
35,0.06186
36,27.84
37,0.05713
38,0.101
39,0.1172
40,0.2189
41,0.10583
42,0.1522
43,0.1816
44,0.1576
45,0.09174
46,0.275
47,0.0703
48,0.0668
49,0.1534
50,0.1503
51,0.1504
52,0.2583
53,0.10016
54,0.1484
55,0.266
56,0.1299
57,0.1526
58,0.1451
59,0.1969
60,0.2605
61,0.1521
62,0.1007
63,0.1003
64,0.082
65,0.08124
66,0.1031
67,0.1021
68,0.1436
69,0.1368
70,0.1467
71,0.09235
72,0.11145
73,0.1641
74,0.1786
75,0.1444
76,0.1211
77,0.1786
78,0.1572
79,0.99
80,2.422
81,1.392
