,0
0,0.4805
1,0.7554
2,0.1813
3,0.10645
4,0.1614
5,0.08093
6,0.0913
7,0.07324
8,12.914
9,0.10925
10,0.2039
11,0.0418
12,0.09814
13,0.1152
14,0.0946
15,0.1549
16,0.1106
17,0.1003
18,0.10364
19,0.10956
20,0.131
21,0.07025
22,0.10913
23,0.07794
24,0.0727
25,0.0893
26,0.1492
27,0.10724
28,0.04077
29,0.0617
30,0.0809
31,0.2156
32,0.1277
33,0.0757
34,0.11456
35,0.07
36,21.66
37,0.0634
38,0.1198
39,0.1089
40,0.08606
41,0.0658
42,0.07745
43,0.1192
44,0.05728
45,0.0608
46,0.2382
47,0.035
48,0.04633
49,0.1219
50,0.0954
51,0.0714
52,0.0649
53,0.0613
54,0.0754
55,0.2487
56,0.08
57,0.1164
58,0.06964
59,0.1201
60,0.22
61,0.04758
62,0.04492
63,0.0787
64,0.06476
65,0.0623
66,0.06128
67,0.0763
68,0.1357
69,0.1576
70,0.05356
71,0.04956
72,0.0784
73,0.159
74,0.10095
75,0.08307
76,0.0731
77,0.06696
78,0.06445
79,0.415
80,0.7817
81,0.2515
82,0.2966
83,0.2213
84,0.1396
85,0.1348
86,0.1935
87,0.323
88,0.365
89,0.2286
90,0.3015
91,0.1909
92,0.1333
93,0.917
94,0.1566
95,0.2317
96,0.444
97,0.4038
98,0.3813
99,0.2993
100,0.487
101,0.6157
102,0.4573
103,0.8496
104,1.954
105,0.716
106,0.7295
107,0.76
108,0.771
109,0.9517
110,0.7876
111,0.545
112,1.154
113,0.9634
114,1.577
115,0.6587
