,0
0,0.454
1,0.6826
2,0.1927
3,0.1011
4,0.1167
5,0.08545
6,0.077
7,0.06012
8,12.27
9,0.054
10,0.1357
11,0.04126
12,0.0672
13,0.06976
14,0.0781
15,0.1439
16,0.08594
17,0.0996
18,0.09985
19,0.05807
20,0.06616
21,0.03992
22,0.08264
23,0.0484
24,0.0625
25,0.1659
26,0.2367
27,0.0744
28,0.1537
29,0.1523
30,0.0648
31,0.12463
32,0.05853
33,0.0378
34,0.04193
35,0.0359
36,21.97
37,0.02292
38,0.0639
39,0.05707
40,0.05737
41,0.0357
42,0.04736
43,0.07104
44,0.04868
45,0.05243
46,0.1696
47,0.02547
48,0.03995
49,0.0695
50,0.0727
51,0.04852
52,0.0624
53,0.05215
54,0.0725
55,0.2969
56,0.06354
57,0.1348
58,0.07526
59,0.1241
60,0.32
61,0.081
62,0.05646
63,0.06168
64,0.0455
65,0.0442
66,0.036
67,0.04388
68,0.09937
69,0.1069
70,0.0667
71,0.05905
72,0.0778
73,0.0633
74,0.05463
75,0.051
76,0.05783
77,0.0585
78,0.05072
79,0.2157
80,0.613
81,0.10956
82,0.2421
83,0.164
84,0.09283
85,0.0825
86,0.0633
87,0.0886
88,0.0732
89,0.0966
90,0.1797
91,0.0651
92,0.0746
93,0.6147
94,0.08856
95,0.141
96,0.159
97,0.11
98,0.1702
99,0.0904
100,0.0905
101,0.139
102,0.1361
103,0.1465
104,0.2493
105,0.1953
106,0.3005
107,0.1636
108,0.12134
109,0.1382
110,0.2705
111,0.0711
112,0.0921
113,0.07404
114,0.1229
115,0.0726
116,0.1267
117,0.1427
118,0.0855
119,0.1576
120,0.2551
121,0.1759
122,0.1832
123,0.314
124,0.4448
125,0.259
126,0.1991
127,0.507
128,0.2354
129,0.3167
130,0.1729
131,0.3108
132,0.872
133,0.1802
134,0.2006
135,0.3005
136,0.3289
137,0.2172
138,0.3792
139,0.8843
140,0.686
141,0.3943
142,0.2756
143,0.4885
144,0.2593
145,0.54
146,1.287
147,0.2532
148,0.3093
149,0.7153
150,0.8833
151,0.9497
152,0.7065
153,0.5825
154,0.9204
