,0
0,0.472
1,0.8867
2,0.2223
3,0.133
4,0.171
5,0.0945
6,0.09344
7,0.08905
8,16.5
9,0.0821
10,0.1678
11,0.04926
12,0.096
13,0.2842
14,0.1516
15,0.2347
16,0.1427
17,0.1638
18,0.1554
19,0.1489
20,0.1388
21,0.0654
22,0.098
23,0.07544
24,0.1186
25,0.0898
26,0.1917
27,0.0881
28,0.0613
29,0.0732
30,0.1109
31,0.1763
32,0.1705
33,0.1346
34,0.107
35,0.04834
36,28.64
37,0.04422
38,0.0826
39,0.088
40,0.1267
41,0.0799
42,0.0834
43,0.1032
44,0.06744
45,0.0669
46,0.1893
47,0.03284
48,0.04562
49,0.1299
50,0.08966
51,0.1388
52,0.1353
53,0.10596
54,0.1292
55,0.254
56,0.09314
57,0.0904
58,0.09283
59,0.11273
60,0.2805
61,0.0665
62,0.0447
63,0.06155
64,0.0588
65,0.03983
66,0.09973
67,0.0539
68,0.09845
69,0.10187
70,0.0699
71,0.04254
72,0.07196
73,0.0919
74,0.1606
75,0.0869
76,0.0654
77,0.0749
78,0.0727
79,0.2915
80,0.6177
81,0.2017
82,0.2522
83,0.1968
84,0.1284
85,0.1509
86,0.1849
87,0.4546
88,0.2499
89,0.2131
90,0.2898
91,0.1365
92,0.1011
93,0.6484
94,0.2156
95,0.352
96,0.5127
97,0.742
98,0.4138
99,1.72
100,1.187
