,0
0,0.597
1,0.576
2,0.1346
3,0.0878
4,0.11005
5,0.07367
6,0.06903
7,0.06003
8,13.22
9,0.07
10,0.1631
11,0.05057
12,0.07776
13,0.07166
14,0.07007
15,0.11755
16,0.0745
17,0.05756
18,0.08453
19,0.06018
20,0.0656
21,0.03714
22,0.07837
23,0.0427
24,0.04828
25,0.0533
26,0.1382
27,0.0713
28,0.0474
29,0.06027
30,0.09814
31,0.1072
32,0.0715
33,0.04773
34,0.0684
35,0.03745
36,21.86
37,0.03488
38,0.0679
39,0.06964
40,0.05902
41,0.0433
42,0.0367
43,0.0645
44,0.03494
45,0.0388
46,0.1434
47,0.02127
48,0.07513
49,0.06494
50,0.06146
51,0.03146
52,0.03546
53,0.0363
54,0.05246
55,0.1803
56,0.05142
57,0.0734
58,0.03885
59,0.07263
60,0.1641
61,0.03717
62,0.0358
63,0.05457
64,0.05676
65,0.0384
66,0.07074
67,0.04498
68,0.07104
69,0.08966
70,0.0374
71,0.0338
72,0.03815
73,0.05548
74,0.05862
75,0.05405
76,0.05786
77,0.06094
78,0.03787
79,0.1543
80,0.5366
81,0.0899
82,0.2046
83,0.12134
84,0.0757
85,0.0733
86,0.05423
87,0.0908
88,0.0511
89,0.06445
90,0.0877
91,0.0393
92,0.05057
93,0.425
94,0.04544
95,0.06696
96,0.08923
97,0.0603
98,0.0761
99,0.05515
100,0.04123
101,0.05835
102,0.0797
103,0.06082
104,0.11005
105,0.0938
106,0.123
107,0.07477
108,0.04376
109,0.05853
110,0.126
111,0.02951
112,0.02936
113,0.03183
114,0.04727
115,0.0338
116,0.0485
117,0.06198
118,0.0363
119,0.0613
120,0.112
121,0.06396
122,0.05115
123,0.06525
124,0.0814
125,0.0808
126,0.0773
127,0.0909
128,0.0726
129,0.05444
130,0.04385
131,0.0509
132,0.06757
133,0.04434
134,0.0614
135,0.0641
136,0.06323
137,0.0671
138,0.12354
139,0.06934
140,0.09204
141,0.07385
142,0.05505
143,0.2361
144,0.06274
145,0.0629
146,0.1205
147,0.04648
148,0.0694
149,0.0847
150,0.1372
151,0.10364
152,0.0865
153,0.08405
154,0.0969
155,0.1362
156,0.2262
157,0.904
158,0.359
159,0.2886
160,0.352
161,0.624
162,0.5386
163,0.6274
164,1.305
165,1.643
166,1.92
167,1.902
168,2.809
169,2.545
