,0
0,0.4177
1,0.795
2,0.19
3,0.1323
4,0.1775
5,0.11145
6,0.08856
7,0.0793
8,14.234
9,0.10864
10,0.1678
11,0.07227
12,0.09326
13,0.1488
14,0.1195
15,0.1941
16,0.1185
17,0.143
18,0.11957
19,0.1145
20,0.127
21,0.0635
22,0.11835
23,0.07306
24,0.09467
25,0.0883
26,0.1503
27,0.07495
28,0.0674
29,0.0573
30,0.08514
31,0.1716
32,0.1351
33,0.085
34,0.08167
35,0.04785
36,23.84
37,0.03607
38,0.0856
39,0.07294
40,0.09717
41,0.06104
42,0.0726
43,0.0949
44,0.0643
45,0.06665
46,0.1936
47,0.03485
48,0.04718
49,0.09814
50,0.09576
51,0.07306
52,0.0946
53,0.0605
54,0.0708
55,0.2258
56,0.0598
57,0.0734
58,0.07153
59,0.08026
60,0.1575
61,0.04846
62,0.0425
63,0.05618
64,0.04782
65,0.0545
66,0.05142
67,0.0475
68,0.11694
69,0.12146
70,0.05646
71,0.0427
72,0.0653
73,0.10065
74,0.1141
75,0.06354
76,0.0653
77,0.05695
78,0.07385
79,0.256
80,0.7407
81,0.1884
82,0.2445
83,0.196
84,0.1111
85,0.1068
86,0.1382
87,0.1833
88,0.1938
89,0.177
90,0.2313
91,0.08026
92,0.07794
93,0.6787
94,0.10785
95,0.2139
96,0.2212
97,0.2495
98,0.247
99,0.1667
100,0.2532
101,0.3806
102,0.2822
103,0.4956
104,2.17
105,0.515
106,0.4507
107,0.31
108,0.2905
109,0.3845
110,0.3335
111,0.1471
112,0.2678
113,0.248
114,0.3906
115,0.1433
116,0.3901
117,1.188
118,0.3047
119,0.377
120,0.53
121,0.72
122,0.765
123,1.551
