,0
0,0.4617
1,0.7017
2,0.169
3,0.10175
4,0.1356
5,0.0921
6,0.0776
7,0.0661
8,11.59
9,0.05832
10,0.1506
11,0.05396
12,0.08527
13,0.12115
14,0.0981
15,0.1613
16,0.10034
17,0.1248
18,0.1112
19,0.0807
20,0.0806
21,0.04877
22,0.10486
23,0.05267
24,0.0795
25,0.10583
26,0.2534
27,0.0673
28,0.1433
29,0.1398
30,0.07367
31,0.1288
32,0.06616
33,0.0518
34,0.05313
35,0.05118
36,18.73
37,0.02924
38,0.0762
39,0.0708
40,0.07776
41,0.05402
42,0.06506
43,0.08673
44,0.062
45,0.0699
46,0.1854
47,0.0371
48,0.0477
49,0.0805
50,0.0863
51,0.06042
52,0.11115
53,0.07166
54,0.09076
55,0.2927
56,0.0777
57,0.10297
58,0.0882
59,0.1329
60,0.303
61,0.066
62,0.05914
63,0.0702
64,0.05942
65,0.04715
66,0.0722
67,0.0842
68,0.132
69,0.1148
70,0.08167
71,0.06903
72,0.10077
73,0.0814
74,0.0679
75,0.0561
76,0.0706
77,0.0623
78,0.073
79,0.2146
80,0.668
81,0.1144
82,0.1958
83,0.1533
84,0.09607
85,0.099
86,0.07947
87,0.1315
88,0.10284
89,0.123
90,0.222
91,0.08057
92,0.0831
93,0.665
94,0.11743
95,0.1748
96,0.1503
97,0.1202
98,0.1644
99,0.11316
100,0.11926
101,0.1982
102,0.1952
103,0.22
104,0.6113
105,0.3938
106,0.3274
107,0.1953
108,0.1268
109,0.1427
110,0.2496
111,0.078
112,0.10486
113,0.1093
114,0.1753
115,0.0807
116,0.1658
117,0.2332
118,0.1091
119,0.1866
120,0.2688
121,0.2424
122,0.1759
123,0.403
124,0.724
125,0.3105
126,0.2488
127,0.392
128,0.233
129,0.4314
130,0.222
131,0.3196
132,1.192
133,0.3694
134,0.2654
135,0.452
136,1.004
137,0.2876
138,0.3264
139,0.6587
140,0.5513
141,0.6157
142,0.3313
143,0.647
144,0.4634
145,0.8823
146,2.326
147,0.7817
148,0.8438
149,1.64
