,0
0,0.601
1,0.987
2,0.2607
3,0.1777
4,0.2213
5,0.1247
6,0.1241
7,0.12164
8,15.61
9,0.10986
10,0.2136
11,0.0628
12,0.1334
13,0.1979
14,0.151
15,0.2042
16,0.1635
17,0.1813
18,0.205
19,0.1525
20,0.1572
21,0.0859
22,0.1351
23,0.0936
24,0.1344
25,0.1636
26,0.2654
27,0.1797
28,0.0964
29,0.09674
30,0.118
31,0.2197
32,0.1775
33,0.1102
34,0.0919
35,0.0743
36,24.84
37,0.0566
38,0.0972
39,0.102
40,0.1252
41,0.091
42,0.10077
43,0.1135
44,0.09216
45,0.08215
46,0.2117
47,0.04538
48,0.06433
49,0.1459
50,0.10156
51,0.09467
52,0.10486
53,0.10657
54,0.1122
55,0.3074
56,0.09955
57,0.1399
58,0.1129
59,0.2319
60,0.3196
61,0.1044
62,0.07605
63,0.1034
64,0.06415
65,0.0509
66,0.07623
67,0.0786
68,0.11816
69,0.1318
70,0.12036
71,0.0815
72,0.10504
73,0.1293
74,0.1149
75,0.0685
76,0.0724
77,0.06995
78,0.0778
79,0.4402
80,0.834
81,0.2507
82,0.294
83,0.2189
84,0.1561
85,0.1743
86,0.197
87,0.319
88,0.2573
89,0.2289
90,0.2942
91,0.1522
92,0.1505
93,0.8716
94,0.2181
95,0.325
96,0.5693
97,0.8013
98,0.572
99,0.7915
100,1.29
101,1.72
102,1.139
