,0
0,0.4866
1,0.8037
2,0.2068
3,0.1389
4,0.1829
5,0.0989
6,0.10236
7,0.093
8,15.96
9,0.0879
10,0.1693
11,0.06647
12,0.1109
13,0.2046
14,0.1686
15,0.2356
16,0.1874
17,0.2764
18,0.1852
19,0.1522
20,0.11597
21,0.05304
22,0.0955
23,0.06854
24,0.1333
25,0.11945
26,0.1758
27,0.07465
28,0.1177
29,0.0961
30,0.12054
31,0.2507
32,0.1499
33,0.1023
34,0.06635
35,0.0432
36,28.27
37,0.0395
38,0.0811
39,0.08057
40,0.1401
41,0.07666
42,0.1042
43,0.1207
44,0.1095
45,0.07355
46,0.2252
47,0.04587
48,0.04407
49,0.1033
50,0.09015
51,0.08624
52,0.12006
53,0.0627
54,0.08795
55,0.2307
56,0.0868
57,0.1042
58,0.09143
59,0.133
60,0.2122
61,0.10455
62,0.07166
63,0.0792
64,0.05777
65,0.05188
66,0.0773
67,0.08344
68,0.11395
69,0.12415
70,0.12286
71,0.0721
72,0.0753
73,0.10547
74,0.1061
75,0.07983
76,0.0688
77,0.08923
78,0.07574
79,0.4233
80,0.974
81,0.3484
82,0.525
83,0.3728
84,0.364
85,0.3406
86,0.2059
87,0.2966
88,0.275
89,0.2905
90,0.527
91,0.306
92,0.1737
93,0.8633
94,0.4065
95,0.5796
96,1.303
97,1.355
