,0
0,0.4011
1,0.7935
2,0.1925
3,0.1082
4,0.1532
5,0.08295
6,0.0695
7,0.0719
8,13.875
9,0.0745
10,0.168
11,0.04694
12,0.07227
13,0.1031
14,0.0983
15,0.163
16,0.10205
17,0.10736
18,0.09955
19,0.0888
20,0.0743
21,0.05426
22,0.1012
23,0.06537
24,0.0683
25,0.09015
26,0.1233
27,0.0933
28,0.0779
29,0.0593
30,0.0693
31,0.126
32,0.0947
33,0.0723
34,0.0608
35,0.05365
36,22.89
37,0.04053
38,0.0803
39,0.07904
40,0.0865
41,0.05994
42,0.0685
43,0.0873
44,0.0663
45,0.06174
46,0.1954
47,0.0404
48,0.04327
49,0.0864
50,0.0941
51,0.06128
52,0.07263
53,0.07104
54,0.07153
55,0.2354
56,0.05865
57,0.0845
58,0.0739
59,0.09393
60,0.1699
61,0.0694
62,0.0674
63,0.0503
64,0.05368
65,0.04703
66,0.05695
67,0.0468
68,0.10284
69,0.1179
70,0.069
71,0.07513
72,0.06586
73,0.09155
74,0.0813
75,0.0663
76,0.0766
77,0.0777
78,0.0803
79,0.201
80,0.5957
81,0.1985
82,0.288
83,0.2368
84,0.1455
85,0.139
86,0.11017
87,0.1844
88,0.1519
89,0.1638
90,0.2754
91,0.1072
92,0.0964
93,0.7583
94,0.1233
95,0.1797
96,0.1649
97,0.2014
98,0.282
99,0.1937
100,0.1892
101,0.2761
102,0.2184
103,0.3174
104,0.5127
105,0.3362
106,0.4387
107,0.2152
108,0.1918
109,0.3484
110,0.3762
111,0.1423
112,0.2181
113,0.1959
114,0.2793
115,0.1426
116,0.2686
117,0.3552
118,0.175
119,0.1946
120,0.365
121,0.532
122,0.614
123,0.9473
124,1.252
125,0.644
126,0.4714
127,1.279
128,0.5767
129,1.699
130,1.007
