,0
0,0.383
1,0.7554
2,0.1819
3,0.1235
4,0.1364
5,0.0899
6,0.06506
7,0.06335
8,14.125
9,0.05917
10,0.1251
11,0.04404
12,0.0653
13,0.1403
14,0.1098
15,0.1833
16,0.1114
17,0.1475
18,0.1121
19,0.0841
20,0.08417
21,0.04257
22,0.08875
23,0.05048
24,0.0799
25,0.08167
26,0.1895
27,0.06494
28,0.09045
29,0.0811
30,0.06836
31,0.1407
32,0.0827
33,0.0683
34,0.0591
35,0.04144
36,25.58
37,0.0323
38,0.06775
39,0.0644
40,0.0751
41,0.04327
42,0.0573
43,0.0847
44,0.04904
45,0.0446
46,0.1575
47,0.02173
48,0.0305
49,0.0646
50,0.08264
51,0.06146
52,0.09424
53,0.0622
54,0.07135
55,0.2483
56,0.06046
57,0.08105
58,0.0639
59,0.08124
60,0.2205
61,0.04944
62,0.0364
63,0.04474
64,0.04364
65,0.042
66,0.04022
67,0.03836
68,0.0975
69,0.10175
70,0.05276
71,0.03925
72,0.05096
73,0.0761
74,0.069
75,0.05896
76,0.06097
77,0.0541
78,0.04547
79,0.1945
80,0.6113
81,0.143
82,0.276
83,0.2136
84,0.1086
85,0.08575
86,0.0905
87,0.1357
88,0.1395
89,0.1509
90,0.2903
91,0.0935
92,0.07587
93,0.6567
94,0.1172
95,0.1495
96,0.1637
97,0.1539
98,0.2186
99,0.1315
100,0.1418
101,0.2524
102,0.3142
103,0.297
104,1.12
105,0.4111
106,0.334
107,0.174
108,0.1466
109,0.3035
110,0.284
111,0.08875
112,0.1501
113,0.12146
114,0.273
115,0.12115
116,0.2496
117,0.3933
118,0.1616
119,0.1578
120,0.2915
121,0.394
122,0.3005
123,0.6904
124,1.175
125,0.422
126,0.2778
127,0.5415
128,0.318
129,0.6665
130,0.48
131,0.9165
132,0.915
