,0
0,0.4954
1,0.645
2,0.1615
3,0.09644
4,0.12354
5,0.06216
6,0.05115
7,0.05582
8,11.16
9,0.05435
10,0.1214
11,0.03506
12,0.0454
13,0.05252
14,0.05423
15,0.10333
16,0.05563
17,0.04492
18,0.04007
19,0.058
20,0.05194
21,0.04047
22,0.0941
23,0.04666
24,0.0349
25,0.045
26,0.1038
27,0.0694
28,0.0224
29,0.0337
30,0.03293
31,0.0937
32,0.04834
33,0.0365
34,0.0402
35,0.03528
36,21.11
37,0.0335
38,0.05392
39,0.05276
40,0.03174
41,0.0196
42,0.03105
43,0.04965
44,0.02057
45,0.02669
46,0.1299
47,0.01278
48,0.0221
49,0.03616
50,0.056
51,0.01965
52,0.02388
53,0.02461
54,0.02861
55,0.1454
56,0.02853
57,0.0388
58,0.02199
59,0.03683
60,0.1132
61,0.0179
62,0.01833
63,0.03812
64,0.03522
65,0.03836
66,0.03427
67,0.03772
68,0.07275
69,0.0905
70,0.02252
71,0.02342
72,0.02684
73,0.04507
74,0.0519
75,0.03772
76,0.03455
77,0.042
78,0.03075
79,0.1288
80,0.4856
81,0.0746
82,0.1372
83,0.10364
84,0.04816
85,0.03772
86,0.0411
87,0.0676
88,0.04395
89,0.05667
90,0.1004
91,0.0282
92,0.0348
93,0.4524
94,0.02954
95,0.04645
96,0.07446
97,0.05414
98,0.0896
99,0.02762
100,0.03223
101,0.05264
102,0.0464
103,0.05582
104,0.1482
105,0.07697
106,0.06445
107,0.05206
108,0.04987
109,0.0592
110,0.1605
111,0.01865
112,0.02698
113,0.03128
114,0.04886
115,0.02095
116,0.05612
117,0.1003
118,0.03114
119,0.0556
120,0.10583
121,0.06064
122,0.0384
123,0.08014
124,0.1118
125,0.0778
126,0.0695
127,0.0795
128,0.082
129,0.0654
130,0.04807
131,0.06824
132,0.092
133,0.05548
134,0.05914
135,0.06464
136,0.0681
137,0.06
138,0.1736
139,0.05377
140,0.06885
141,0.05365
142,0.06155
143,0.1783
144,0.04816
145,0.06274
146,0.11163
147,0.04932
148,0.05084
149,0.0765
150,0.1053
151,0.06635
152,0.06866
153,0.0608
154,0.07446
155,0.08496
156,0.1501
157,0.8525
158,0.2236
159,0.2742
160,0.1454
161,0.277
162,0.4177
163,0.2256
164,0.3384
165,0.3914
166,0.779
167,0.3225
168,0.2551
169,0.606
170,0.436
171,0.3074
172,0.4182
173,0.4644
174,0.6206
175,0.3154
176,0.751
177,0.901
178,0.726
179,0.7925
180,1.262
181,1.036
182,1.67
183,2.062
184,2.209
185,1.478
