,0
0,0.46
1,0.6343
2,0.2059
3,0.1453
4,0.1825
5,0.07245
6,0.06274
7,0.0649
8,15.45
9,0.0848
10,0.1492
11,0.04126
12,0.0658
13,0.09485
14,0.1062
15,0.2012
16,0.1097
17,0.09827
18,0.06226
19,0.0973
20,0.131
21,0.0723
22,0.1321
23,0.08984
24,0.0757
25,0.0655
26,0.11725
27,0.1515
28,0.04944
29,0.04553
30,0.0452
31,0.10596
32,0.0862
33,0.06015
34,0.0997
35,0.06824
36,25.78
37,0.04663
38,0.1505
39,0.07623
40,0.067
41,0.03293
42,0.0563
43,0.0874
44,0.04105
45,0.05643
46,0.1876
47,0.02376
48,0.02733
49,0.0695
50,0.06573
51,0.05106
52,0.0701
53,0.07153
54,0.0809
55,0.211
56,0.0653
57,0.0998
58,0.06082
59,0.07166
60,0.1836
61,0.06964
62,0.06287
63,0.06287
64,0.039
65,0.04535
66,0.0309
67,0.0509
68,0.1065
69,0.1279
70,0.05426
71,0.04938
72,0.0535
73,0.09064
74,0.0826
75,0.07806
76,0.09314
77,0.0868
78,0.05536
79,0.1869
80,0.6035
81,0.1617
82,0.279
83,0.1816
84,0.0796
85,0.0629
86,0.0947
87,0.1251
88,0.137
89,0.1501
90,0.2499
91,0.0954
92,0.132
93,0.6455
94,0.0892
95,0.1095
96,0.1461
97,0.1531
98,0.242
99,0.10767
100,0.1752
101,0.2312
102,0.1752
103,0.2754
104,0.383
105,0.3232
106,0.3105
107,0.2314
108,0.216
109,0.307
110,0.305
111,0.10425
112,0.2021
113,0.1466
114,0.2925
115,0.10675
116,0.3306
117,0.3743
118,0.201
119,0.1849
120,0.4111
121,0.7046
122,0.603
123,1.16
124,2.025
125,1.42
