,0
0,0.3389
1,0.827
2,0.22
3,0.1449
4,0.181
5,0.0986
6,0.08386
7,0.08325
8,16.27
9,0.0773
10,0.165
11,0.04907
12,0.08685
13,0.1714
14,0.1422
15,0.2515
16,0.1837
17,0.2368
18,0.163
19,0.1278
20,0.1364
21,0.0567
22,0.1022
23,0.0708
24,0.1465
25,0.1072
26,0.38
27,0.0893
28,0.1245
29,0.08685
30,0.0878
31,0.1615
32,0.1164
33,0.0853
34,0.07794
35,0.05667
36,28.9
37,0.03348
38,0.08704
39,0.0863
40,0.117
41,0.0618
42,0.07654
43,0.1175
44,0.0784
45,0.06204
46,0.1924
47,0.03522
48,0.03836
49,0.0936
50,0.0842
51,0.09607
52,0.188
53,0.1143
54,0.1133
55,0.2869
56,0.1301
57,0.1418
58,0.1229
59,0.1486
60,0.3357
61,0.135
62,0.06555
63,0.07086
64,0.05737
65,0.0417
66,0.0803
67,0.06995
68,0.12335
69,0.11554
70,0.1351
71,0.06335
72,0.0709
73,0.0768
74,0.0937
75,0.07886
76,0.06885
77,0.07983
78,0.0694
79,0.2769
80,0.632
81,0.1882
82,0.3025
83,0.2274
84,0.1547
85,0.1499
86,0.1428
87,0.2593
88,0.218
89,0.2133
90,0.37
91,0.1793
92,0.1235
93,0.679
94,0.2603
95,0.3
96,0.3403
97,0.5522
98,0.4065
99,0.892
100,1.229
101,0.8867
