,0
0,0.576
1,0.8843
2,0.1913
3,0.1531
4,0.1931
5,0.1101
6,0.1109
7,0.1048
8,14.39
9,0.08356
10,0.1838
11,0.05817
12,0.1299
13,0.204
14,0.161
15,0.2004
16,0.1553
17,0.2489
18,0.4324
19,0.1696
20,0.1392
21,0.06757
22,0.1068
23,0.0895
24,0.2126
25,0.2201
26,0.384
27,0.1641
28,0.268
29,0.2314
30,0.2289
31,0.2288
32,0.1517
33,0.09827
34,0.09576
35,0.0576
36,24.03
37,0.05234
38,0.09467
39,0.12103
40,0.1671
41,0.10034
42,0.0978
43,0.1592
44,0.1287
45,0.076
46,0.2257
47,0.05746
48,0.0902
49,0.11896
50,0.0877
51,0.0777
52,0.1263
53,0.0937
54,0.1555
55,0.2603
56,0.1488
57,0.262
58,0.2346
59,0.2788
60,0.488
61,0.2683
62,0.1395
63,0.1205
64,0.06714
65,0.05066
66,0.0875
67,0.1003
68,0.1192
69,0.1481
70,0.175
71,0.104
72,0.1476
73,0.1561
74,0.12036
75,0.0915
76,0.0815
77,0.11304
78,0.11536
79,0.4722
80,1.035
81,0.4084
82,0.3948
83,0.3474
84,0.376
85,0.5073
86,0.4387
87,0.792
88,0.704
89,0.9004
90,0.933
91,0.9062
92,1.165
93,1.604
94,1.582
